hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,0.019,0.019,0.019,0.0195,0.0195,0.0225,0.0235
1,0.019,0.019,0.019,0.0195,0.0195,0.0225,0.0235
2,0.014,0.014,0.014,0.0145,0.0145,0.0165,0.0175
3,0.014,0.014,0.014,0.0145,0.0145,0.0165,0.0175
4,0.013,0.013,0.013,0.013,0.013,0.0145,0.015
5,0.013,0.013,0.013,0.013,0.013,0.0145,0.015
6,0.022,0.022,0.0215,0.022,0.0215,0.0225,0.0225
7,0.022,0.022,0.0215,0.022,0.0215,0.0225,0.0225
8,0.052,0.0505,0.0495,0.049,0.049,0.0465,0.0485
9,0.052,0.0505,0.0495,0.049,0.049,0.0465,0.0485
10,0.0675,0.065,0.065,0.0645,0.064,0.0625,0.064
11,0.0675,0.065,0.065,0.0645,0.064,0.0625,0.064
12,0.064,0.063,0.063,0.063,0.063,0.0625,0.0625
13,0.064,0.063,0.063,0.063,0.063,0.0625,0.0625
14,0.0605,0.06,0.0605,0.0605,0.0605,0.061,0.061
15,0.0605,0.06,0.0605,0.0605,0.0605,0.061,0.061
16,0.059,0.0595,0.0595,0.0595,0.0595,0.057,0.057
17,0.059,0.0595,0.0595,0.0595,0.0595,0.057,0.057
18,0.055,0.0565,0.0565,0.0565,0.0545,0.053,0.0535
19,0.055,0.0565,0.0565,0.0565,0.0545,0.053,0.0535
20,0.045,0.047,0.047,0.047,0.0465,0.0465,0.046
21,0.045,0.047,0.047,0.047,0.0465,0.0465,0.046
22,0.0295,0.0305,0.0305,0.0315,0.0335,0.035,0.035
23,0.0295,0.0305,0.0305,0.0315,0.0335,0.035,0.035